VCD info: dumpfile tb_FPU.vcd opened for output.
          0 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
        105 A = 01000011000000010000000000000000, B = 01000011000000000000010000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        106 A = 01000011000000010000000000000000, B = 01000011000000000000010000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        107 A = 01000011000000010000000000000000, B = 01000011000000000000010000000000, Sel = 01, Y = 00111111011111001000000000000000, Overflow = 0, Error = 0
        108 A = 01000001011000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 00111111011111001000000000000000, Overflow = 0, Error = 0
        109 A = 01000001011000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        110 A = 01000001011000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        111 A = 01000001011000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 11000010111000100000000000000000, Overflow = 0, Error = 0
        112 A = 01000001111110000000000000000000, B = 01000000000000000000000000000000, Sel = 01, Y = 11000010111000100000000000000000, Overflow = 0, Error = 0
        113 A = 01000001111110000000000000000000, B = 01000000000000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        114 A = 01000001111110000000000000000000, B = 01000000000000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        115 A = 01000001111110000000000000000000, B = 01000000000000000000000000000000, Sel = 01, Y = 01000001111010000000000000000000, Overflow = 0, Error = 0
        116 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 01, Y = 01000001111010000000000000000000, Overflow = 0, Error = 0
        117 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        118 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        119 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 01, Y = 01000011000000100000000000000000, Overflow = 0, Error = 0
        120 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 01000011000000100000000000000000, Overflow = 0, Error = 0
        121 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        122 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        123 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 01, Y = 11000011001111110000000000000000, Overflow = 0, Error = 0
        124 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 01, Y = 11000011001111110000000000000000, Overflow = 0, Error = 0
        125 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        126 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        127 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 01, Y = 01000011000111110000000000000000, Overflow = 0, Error = 0
        128 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 01, Y = 01000011000111110000000000000000, Overflow = 0, Error = 0
        129 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        130 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        131 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 01, Y = 11000011000111010000000000000000, Overflow = 0, Error = 0
        132 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 01, Y = 11000011000111010000000000000000, Overflow = 0, Error = 0
        133 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        134 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        135 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 01, Y = 01000010001011000000000000000000, Overflow = 0, Error = 0
        136 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 01, Y = 01000010001011000000000000000000, Overflow = 0, Error = 0
        137 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        138 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        139 A = 11000011000000010000000000000000, B = 11000010111100000000000000000000, Sel = 01, Y = 11000001000100000000000000000000, Overflow = 0, Error = 0
        140 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 01, Y = 11000001000100000000000000000000, Overflow = 0, Error = 0
        141 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        142 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        143 A = 11000011000000010000000000000000, B = 11000011000100000000000000000000, Sel = 01, Y = 01000001011100000000000000000000, Overflow = 0, Error = 0
        144 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 01, Y = 01000001011100000000000000000000, Overflow = 0, Error = 0
